y+,u_mean,uu+,ww+,y+,vv+,-uv+,-uv/urmsvrms,nu_t+
7.31918E+01,1.64989E+01,2.14956E+00,9.68145E-01,7.51815E+01,6.68058E-01,5.44101E-01,4.60126E-01,1.51183E+01
7.72438E+01,1.66446E+01,2.03741E+00,9.32889E-01,7.93060E+01,6.52905E-01,5.22717E-01,4.59250E-01,1.51851E+01
8.14406E+01,1.67891E+01,1.93168E+00,8.96740E-01,8.35751E+01,6.36270E-01,5.00453E-01,4.57429E-01,1.51864E+01
8.57813E+01,1.69322E+01,1.83142E+00,8.59993E-01,8.79874E+01,6.18510E-01,4.77328E-01,4.54480E-01,1.51168E+01
9.02641E+01,1.70737E+01,1.73607E+00,8.22625E-01,9.25407E+01,5.99919E-01,4.53365E-01,4.50223E-01,1.49756E+01
9.48865E+01,1.72137E+01,1.64502E+00,7.84911E-01,9.72323E+01,5.80749E-01,4.28604E-01,4.44506E-01,1.47675E+01
9.96455E+01,1.73517E+01,1.55742E+00,7.47065E-01,1.02059E+02,5.61281E-01,4.03106E-01,4.37204E-01,1.45080E+01
1.04537E+02,1.74877E+01,1.47233E+00,7.08984E-01,1.07015E+02,5.41902E-01,3.76934E-01,4.28131E-01,1.42164E+01
1.09556E+02,1.76208E+01,1.38907E+00,6.70832E-01,1.12097E+02,5.23053E-01,3.50106E-01,4.17000E-01,1.38824E+01
1.14698E+02,1.77505E+01,1.30689E+00,6.32818E-01,1.17299E+02,5.05092E-01,3.22655E-01,4.03520E-01,1.35013E+01
1.19956E+02,1.78761E+01,1.22544E+00,5.95133E-01,1.22613E+02,4.88278E-01,2.94678E-01,3.87424E-01,1.31038E+01
1.25323E+02,1.79967E+01,1.14491E+00,5.58528E-01,1.28032E+02,4.72778E-01,2.66256E-01,3.68353E-01,1.27103E+01
1.30791E+02,1.81113E+01,1.06605E+00,5.23600E-01,1.33549E+02,4.58703E-01,2.37445E-01,3.45847E-01,1.23252E+01
1.36352E+02,1.82185E+01,9.89863E-01,4.90984E-01,1.39154E+02,4.46105E-01,2.08304E-01,3.19429E-01,1.19550E+01
1.41996E+02,1.83168E+01,9.17329E-01,4.61398E-01,1.44838E+02,4.35059E-01,1.78898E-01,2.88615E-01,1.16108E+01
1.47714E+02,1.84049E+01,8.49595E-01,4.35096E-01,1.50591E+02,4.25694E-01,1.49290E-01,2.52898E-01,1.12987E+01
1.53496E+02,1.84813E+01,7.88188E-01,4.12455E-01,1.56402E+02,4.18125E-01,1.19546E-01,2.11865E-01,1.10354E+01
1.59330E+02,1.85445E+01,7.35193E-01,3.93829E-01,1.62259E+02,4.12401E-01,8.97204E-02,1.65350E-01,1.08366E+01
1.65206E+02,1.85932E+01,6.92967E-01,3.79419E-01,1.68153E+02,4.08477E-01,5.98402E-02,1.13689E-01,1.07005E+01
1.71112E+02,1.86262E+01,6.63670E-01,3.69706E-01,1.74070E+02,4.06226E-01,2.99288E-02,5.79700E-02,1.06283E+01
1.77035E+02,1.86429E+01,6.48673E-01,3.64938E-01,1.80000E+02,4.05499E-01,0.00000E+00,0.00000E+00,1.06283E+01
