y+,u_mean,uu+,ww+,y+,vv+,-uv+
192.5,18.2619,3.38339,1.54942,194.8,1.10912,0.791665
197.125,18.3272,3.36044,1.53798,199.45,1.10489,0.787372
201.8,18.3919,3.3374,1.52665,204.149,1.10061,0.783021
206.523,18.456,3.31432,1.51542,208.896,1.09628,0.778613
211.294,18.5195,3.29127,1.50431,213.691,1.09188,0.774151
216.111,18.5825,3.26827,1.49336,218.532,1.08741,0.769636
220.976,18.6449,3.24531,1.48257,223.419,1.08286,0.765068
225.886,18.7067,3.22238,1.4719,228.352,1.07824,0.760446
230.841,18.768,3.19941,1.46134,233.329,1.07353,0.755771
235.84,18.8288,3.17636,1.45089,238.35,1.06875,0.751046
240.883,18.8891,3.15321,1.44052,243.415,1.06388,0.746274
245.968,18.9489,3.12998,1.43016,248.521,1.05892,0.741457
251.095,19.0081,3.10668,1.41978,253.67,1.05388,0.736595
256.264,19.0669,3.08331,1.40938,258.859,1.04873,0.731686
261.473,19.1252,3.05992,1.39896,264.088,1.04349,0.726735
266.722,19.183,3.0365,1.38853,269.357,1.03816,0.721742
272.01,19.2404,3.01307,1.37807,274.664,1.03273,0.716709
277.337,19.2972,2.98959,1.36756,280.009,1.02722,0.711635
282.7,19.3536,2.96604,1.35698,285.392,1.02165,0.706519
288.101,19.4095,2.94235,1.34639,290.81,1.01601,0.701363
293.538,19.4649,2.91852,1.33582,296.265,1.01029,0.696166
299.01,19.5199,2.8946,1.32525,301.754,1.00451,0.690931
304.516,19.5745,2.8706,1.31465,307.278,0.998676,0.685661
310.056,19.6286,2.84655,1.304,312.835,0.992783,0.680356
315.63,19.6823,2.82245,1.29327,318.424,0.986843,0.675021
321.235,19.7356,2.7983,1.28246,324.046,0.980866,0.669656
326.873,19.7884,2.77409,1.27157,329.699,0.97486,0.664258
332.541,19.8407,2.74983,1.26064,335.382,0.968831,0.658826
338.239,19.8926,2.72552,1.24968,341.096,0.962781,0.653358
343.967,19.944,2.70112,1.23874,346.838,0.956707,0.647856
349.724,19.995,2.67663,1.22786,352.609,0.9506,0.642324
355.508,20.0456,2.65205,1.21705,358.408,0.944447,0.63676
361.32,20.0957,2.62742,1.20631,364.233,0.938241,0.631165
367.159,20.1454,2.60276,1.19563,370.085,0.93198,0.625535
373.024,20.1948,2.5781,1.185,375.963,0.925666,0.619876
378.915,20.2437,2.55345,1.17442,381.866,0.9193,0.614188
384.83,20.2923,2.5288,1.16384,387.793,0.912886,0.608473
390.769,20.3405,2.50414,1.15319,393.744,0.906426,0.602733
396.731,20.3883,2.47947,1.14249,399.718,0.89992,0.59697
402.717,20.4358,2.45483,1.13179,405.715,0.893373,0.591185
408.725,20.4829,2.43026,1.12113,411.734,0.886787,0.585379
414.754,20.5295,2.40576,1.11052,417.774,0.880166,0.579552
420.804,20.5758,2.38129,1.0999,423.835,0.873518,0.573705
426.875,20.6217,2.35685,1.08926,429.916,0.866854,0.567838
432.966,20.6671,2.33253,1.0786,436.016,0.860181,0.56195
439.076,20.7121,2.30835,1.06795,442.136,0.853507,0.556041
445.205,20.7568,2.28429,1.05731,448.274,0.846844,0.550111
451.352,20.801,2.2603,1.04669,454.43,0.840201,0.54416
457.517,20.8449,2.23634,1.03609,460.604,0.833572,0.538191
463.699,20.8884,2.2124,1.02556,466.795,0.826948,0.532204
469.898,20.9316,2.18851,1.01509,473.002,0.820319,0.526201
476.113,20.9744,2.16471,1.00466,479.225,0.813687,0.520184
482.344,21.0168,2.14103,0.994254,485.464,0.807058,0.514151
488.59,21.0588,2.11744,0.983847,491.717,0.800432,0.508102
494.852,21.1005,2.09395,0.973422,497.986,0.793804,0.502037
501.127,21.1418,2.07054,0.962948,504.269,0.787169,0.495954
507.417,21.1828,2.04716,0.952408,510.565,0.78053,0.489853
513.72,21.2234,2.02377,0.941813,516.875,0.773889,0.483736
520.037,21.2637,2.00036,0.931227,523.198,0.767253,0.477607
526.366,21.3037,1.977,0.920707,529.534,0.760633,0.471466
532.708,21.3434,1.95375,0.910278,535.882,0.754041,0.465316
539.062,21.3827,1.93065,0.899907,542.242,0.747487,0.459156
545.427,21.4216,1.90771,0.889538,548.613,0.740977,0.452986
551.805,21.4602,1.88494,0.87915,554.996,0.734512,0.446805
558.193,21.4984,1.86236,0.868768,561.39,0.728095,0.440612
564.592,21.5362,1.83997,0.858417,567.795,0.721728,0.434408
571.002,21.5736,1.81776,0.84811,574.21,0.715411,0.428192
577.422,21.6107,1.79573,0.837851,580.635,0.709145,0.421965
