y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+   
0.731918e+02 0.164989e+02 0.214956e+01 0.968145e+00 0.751815e+02 0.668058e+00 0.544101e+00 0.460126e+00 0.151183e+02
0.772438e+02 0.166446e+02 0.203741e+01 0.932889e+00 0.793060e+02 0.652905e+00 0.522717e+00 0.459250e+00 0.151851e+02
0.814406e+02 0.167891e+02 0.193168e+01 0.896740e+00 0.835751e+02 0.636270e+00 0.500453e+00 0.457429e+00 0.151864e+02
0.857813e+02 0.169322e+02 0.183142e+01 0.859993e+00 0.879874e+02 0.618510e+00 0.477328e+00 0.454480e+00 0.151168e+02
0.902641e+02 0.170737e+02 0.173607e+01 0.822625e+00 0.925407e+02 0.599919e+00 0.453365e+00 0.450223e+00 0.149756e+02
0.948865e+02 0.172137e+02 0.164502e+01 0.784911e+00 0.972323e+02 0.580749e+00 0.428604e+00 0.444506e+00 0.147675e+02
0.996455e+02 0.173517e+02 0.155742e+01 0.747065e+00 0.102059e+03 0.561281e+00 0.403106e+00 0.437204e+00 0.145080e+02
0.104537e+03 0.174877e+02 0.147233e+01 0.708984e+00 0.107015e+03 0.541902e+00 0.376934e+00 0.428131e+00 0.142164e+02
0.109556e+03 0.176208e+02 0.138907e+01 0.670832e+00 0.112097e+03 0.523053e+00 0.350106e+00 0.417000e+00 0.138824e+02
0.114698e+03 0.177505e+02 0.130689e+01 0.632818e+00 0.117299e+03 0.505092e+00 0.322655e+00 0.403520e+00 0.135013e+02
0.119956e+03 0.178761e+02 0.122544e+01 0.595133e+00 0.122613e+03 0.488278e+00 0.294678e+00 0.387424e+00 0.131038e+02
0.125323e+03 0.179967e+02 0.114491e+01 0.558528e+00 0.128032e+03 0.472778e+00 0.266256e+00 0.368353e+00 0.127103e+02
0.130791e+03 0.181113e+02 0.106605e+01 0.523600e+00 0.133549e+03 0.458703e+00 0.237445e+00 0.345847e+00 0.123252e+02
0.136352e+03 0.182185e+02 0.989863e+00 0.490984e+00 0.139154e+03 0.446105e+00 0.208304e+00 0.319429e+00 0.119550e+02
0.141996e+03 0.183168e+02 0.917329e+00 0.461398e+00 0.144838e+03 0.435059e+00 0.178898e+00 0.288615e+00 0.116108e+02
0.147714e+03 0.184049e+02 0.849595e+00 0.435096e+00 0.150591e+03 0.425694e+00 0.149290e+00 0.252898e+00 0.112987e+02
0.153496e+03 0.184813e+02 0.788188e+00 0.412455e+00 0.156402e+03 0.418125e+00 0.119546e+00 0.211865e+00 0.110354e+02
0.159330e+03 0.185445e+02 0.735193e+00 0.393829e+00 0.162259e+03 0.412401e+00 0.897204e-01 0.165350e+00 0.108366e+02
0.165206e+03 0.185932e+02 0.692967e+00 0.379419e+00 0.168153e+03 0.408477e+00 0.598402e-01 0.113689e+00 0.107005e+02
0.171112e+03 0.186262e+02 0.663670e+00 0.369706e+00 0.174070e+03 0.406226e+00 0.299288e-01 0.579700e-01 0.106283e+02
0.177035e+03 0.186429e+02 0.648673e+00 0.364938e+00 0.180000e+03 0.405499e+00 0.000000e+00 0.000000e+00 0.106283e+02
