y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss.   
0.498018e+02 0.149472e+02 0.450295e+01 0.189537e+01 0.513932e+02 0.101552e+01 0.864829e+00 0.407839e+00 0.181901e+02 0.498018e+02 -0.494784e-01
0.530444e+02 0.151014e+02 0.435339e+01 0.188171e+01 0.546956e+02 0.103594e+01 0.863046e+00 0.409591e+00 0.195365e+02 0.530444e+02 -0.448565e-01
0.564066e+02 0.152499e+02 0.421878e+01 0.186554e+01 0.581175e+02 0.105288e+01 0.860624e+00 0.411323e+00 0.208512e+02 0.564066e+02 -0.407783e-01
0.598879e+02 0.153936e+02 0.409763e+01 0.184721e+01 0.616583e+02 0.106665e+01 0.857649e+00 0.413006e+00 0.221299e+02 0.598879e+02 -0.371843e-01
0.634878e+02 0.155331e+02 0.398838e+01 0.182705e+01 0.653173e+02 0.107755e+01 0.854192e+00 0.414618e+00 0.233731e+02 0.634878e+02 -0.340188e-01
0.672056e+02 0.156690e+02 0.388978e+01 0.180550e+01 0.690939e+02 0.108585e+01 0.850322e+00 0.416145e+00 0.245907e+02 0.672056e+02 -0.312194e-01
0.710404e+02 0.158016e+02 0.380065e+01 0.178295e+01 0.729869e+02 0.109185e+01 0.846082e+00 0.417576e+00 0.257872e+02 0.710404e+02 -0.287331e-01
0.749911e+02 0.159312e+02 0.371963e+01 0.175972e+01 0.769953e+02 0.109580e+01 0.841492e+00 0.418909e+00 0.269530e+02 0.749911e+02 -0.265239e-01
0.790566e+02 0.160581e+02 0.364534e+01 0.173620e+01 0.811179e+02 0.109794e+01 0.836571e+00 0.420153e+00 0.280820e+02 0.790566e+02 -0.245598e-01
0.832355e+02 0.161826e+02 0.357660e+01 0.171262e+01 0.853532e+02 0.109848e+01 0.831353e+00 0.421320e+00 0.291845e+02 0.832355e+02 -0.228077e-01
0.875264e+02 0.163049e+02 0.351254e+01 0.168912e+01 0.896996e+02 0.109763e+01 0.825858e+00 0.422415e+00 0.302635e+02 0.875264e+02 -0.212373e-01
0.919276e+02 0.164250e+02 0.345234e+01 0.166586e+01 0.941556e+02 0.109558e+01 0.820091e+00 0.423436e+00 0.313070e+02 0.919276e+02 -0.198265e-01
0.964375e+02 0.165431e+02 0.339531e+01 0.164306e+01 0.987193e+02 0.109251e+01 0.814059e+00 0.424372e+00 0.323013e+02 0.964375e+02 -0.185583e-01
0.101054e+03 0.166595e+02 0.334112e+01 0.162068e+01 0.103389e+03 0.108859e+01 0.807775e+00 0.425203e+00 0.332450e+02 0.101054e+03 -0.174149e-01
