y+ u_mean uu+ ww+ y+ vv+ -uv+
0.658276e+02 0.155715e+02 0.444105e+01 0.203669e+01 0.671117e+02 0.114249e+01 0.896198e+00
0.684264e+02 0.156625e+02 0.438166e+01 0.202324e+01 0.697412e+02 0.114945e+01 0.894919e+00
0.710868e+02 0.157521e+02 0.432652e+01 0.200926e+01 0.724324e+02 0.115539e+01 0.893486e+00
0.738088e+02 0.158405e+02 0.427524e+01 0.199484e+01 0.751852e+02 0.116039e+01 0.891908e+00
0.765924e+02 0.159277e+02 0.422745e+01 0.198003e+01 0.779997e+02 0.116455e+01 0.890193e+00
0.794378e+02 0.160139e+02 0.418281e+01 0.196489e+01 0.808760e+02 0.116793e+01 0.888347e+00
0.823449e+02 0.160991e+02 0.414100e+01 0.194949e+01 0.838139e+02 0.117060e+01 0.886378e+00
0.853138e+02 0.161834e+02 0.410174e+01 0.193390e+01 0.868136e+02 0.117263e+01 0.884293e+00
0.883442e+02 0.162668e+02 0.406476e+01 0.191818e+01 0.898749e+02 0.117408e+01 0.882098e+00
0.914362e+02 0.163494e+02 0.402979e+01 0.190240e+01 0.929976e+02 0.117500e+01 0.879800e+00
0.945897e+02 0.164313e+02 0.399660e+01 0.188664e+01 0.961818e+02 0.117544e+01 0.877404e+00
0.978044e+02 0.165123e+02 0.396498e+01 0.187093e+01 0.994271e+02 0.117545e+01 0.874914e+00
0.101080e+03 0.165927e+02 0.393471e+01 0.185530e+01 0.102733e+03 0.117508e+01 0.872332e+00
0.104417e+03 0.166723e+02 0.390562e+01 0.183977e+01 0.106101e+03 0.117435e+01 0.869660e+00
0.107814e+03 0.167512e+02 0.387756e+01 0.182440e+01 0.109528e+03 0.117331e+01 0.866901e+00
0.111272e+03 0.168294e+02 0.385040e+01 0.180923e+01 0.113016e+03 0.117199e+01 0.864055e+00
0.114790e+03 0.169069e+02 0.382405e+01 0.179427e+01 0.116564e+03 0.117040e+01 0.861125e+00
0.118368e+03 0.169838e+02 0.379843e+01 0.177957e+01 0.120172e+03 0.116856e+01 0.858114e+00
0.122005e+03 0.170600e+02 0.377346e+01 0.176514e+01 0.123839e+03 0.116649e+01 0.855023e+00
0.125702e+03 0.171356e+02 0.374906e+01 0.175101e+01 0.127564e+03 0.116421e+01 0.851852e+00
0.129457e+03 0.172105e+02 0.372511e+01 0.173716e+01 0.131349e+03 0.116174e+01 0.848603e+00
0.133270e+03 0.172849e+02 0.370153e+01 0.172357e+01 0.135191e+03 0.115909e+01 0.845279e+00
0.137141e+03 0.173586e+02 0.367827e+01 0.171023e+01 0.139091e+03 0.115627e+01 0.841881e+00
0.141070e+03 0.174317e+02 0.365523e+01 0.169707e+01 0.143048e+03 0.115331e+01 0.838414e+00
0.145055e+03 0.175043e+02 0.363236e+01 0.168407e+01 0.147062e+03 0.115020e+01 0.834879e+00
0.149097e+03 0.175762e+02 0.360956e+01 0.167118e+01 0.151132e+03 0.114697e+01 0.831273e+00
0.153195e+03 0.176475e+02 0.358680e+01 0.165841e+01 0.155258e+03 0.114362e+01 0.827599e+00
0.157349e+03 0.177182e+02 0.356407e+01 0.164578e+01 0.159439e+03 0.114017e+01 0.823860e+00
0.161557e+03 0.177883e+02 0.354140e+01 0.163327e+01 0.163675e+03 0.113662e+01 0.820056e+00
0.165819e+03 0.178577e+02 0.351883e+01 0.162088e+01 0.167964e+03 0.113297e+01 0.816185e+00
0.170136e+03 0.179266e+02 0.349633e+01 0.160861e+01 0.172307e+03 0.112922e+01 0.812251e+00
0.174505e+03 0.179949e+02 0.347387e+01 0.159646e+01 0.176703e+03 0.112537e+01 0.808254e+00
0.178927e+03 0.180625e+02 0.345140e+01 0.158447e+01 0.181150e+03 0.112142e+01 0.804195e+00
0.183400e+03 0.181296e+02 0.342885e+01 0.157264e+01 0.185650e+03 0.111739e+01 0.800076e+00
0.187925e+03 0.181961e+02 0.340619e+01 0.156096e+01 0.190200e+03 0.111329e+01 0.795899e+00
0.192500e+03 0.182619e+02 0.338339e+01 0.154942e+01 0.194800e+03 0.110912e+01 0.791665e+00
0.197125e+03 0.183272e+02 0.336044e+01 0.153798e+01 0.199450e+03 0.110489e+01 0.787372e+00
0.201800e+03 0.183919e+02 0.333740e+01 0.152665e+01 0.204149e+03 0.110061e+01 0.783021e+00
0.206523e+03 0.184560e+02 0.331432e+01 0.151542e+01 0.208896e+03 0.109628e+01 0.778613e+00
0.211294e+03 0.185195e+02 0.329127e+01 0.150431e+01 0.213691e+03 0.109188e+01 0.774151e+00
0.216111e+03 0.185825e+02 0.326827e+01 0.149336e+01 0.218532e+03 0.108741e+01 0.769636e+00
0.220976e+03 0.186449e+02 0.324531e+01 0.148257e+01 0.223419e+03 0.108286e+01 0.765068e+00
0.225886e+03 0.187067e+02 0.322238e+01 0.147190e+01 0.228352e+03 0.107824e+01 0.760446e+00
0.230841e+03 0.187680e+02 0.319941e+01 0.146134e+01 0.233329e+03 0.107353e+01 0.755771e+00
0.235840e+03 0.188288e+02 0.317636e+01 0.145089e+01 0.238350e+03 0.106875e+01 0.751046e+00
0.240883e+03 0.188891e+02 0.315321e+01 0.144052e+01 0.243415e+03 0.106388e+01 0.746274e+00
0.245968e+03 0.189489e+02 0.312998e+01 0.143016e+01 0.248521e+03 0.105892e+01 0.741457e+00
0.251095e+03 0.190081e+02 0.310668e+01 0.141978e+01 0.253670e+03 0.105388e+01 0.736595e+00
0.256264e+03 0.190669e+02 0.308331e+01 0.140938e+01 0.258859e+03 0.104873e+01 0.731686e+00
0.261473e+03 0.191252e+02 0.305992e+01 0.139896e+01 0.264088e+03 0.104349e+01 0.726735e+00
0.266722e+03 0.191830e+02 0.303650e+01 0.138853e+01 0.269357e+03 0.103816e+01 0.721742e+00
0.272010e+03 0.192404e+02 0.301307e+01 0.137807e+01 0.274664e+03 0.103273e+01 0.716709e+00
0.277337e+03 0.192972e+02 0.298959e+01 0.136756e+01 0.280009e+03 0.102722e+01 0.711635e+00
0.282700e+03 0.193536e+02 0.296604e+01 0.135698e+01 0.285392e+03 0.102165e+01 0.706519e+00
0.288101e+03 0.194095e+02 0.294235e+01 0.134639e+01 0.290810e+03 0.101601e+01 0.701363e+00
0.293538e+03 0.194649e+02 0.291852e+01 0.133582e+01 0.296265e+03 0.101029e+01 0.696166e+00
0.299010e+03 0.195199e+02 0.289460e+01 0.132525e+01 0.301754e+03 0.100451e+01 0.690931e+00
0.304516e+03 0.195745e+02 0.287060e+01 0.131465e+01 0.307278e+03 0.998676e+00 0.685661e+00
0.310056e+03 0.196286e+02 0.284655e+01 0.130400e+01 0.312835e+03 0.992783e+00 0.680356e+00
0.315630e+03 0.196823e+02 0.282245e+01 0.129327e+01 0.318424e+03 0.986843e+00 0.675021e+00
0.321235e+03 0.197356e+02 0.279830e+01 0.128246e+01 0.324046e+03 0.980866e+00 0.669656e+00
0.326873e+03 0.197884e+02 0.277409e+01 0.127157e+01 0.329699e+03 0.974860e+00 0.664258e+00
0.332541e+03 0.198407e+02 0.274983e+01 0.126064e+01 0.335382e+03 0.968831e+00 0.658826e+00
0.338239e+03 0.198926e+02 0.272552e+01 0.124968e+01 0.341096e+03 0.962781e+00 0.653358e+00
0.343967e+03 0.199440e+02 0.270112e+01 0.123874e+01 0.346838e+03 0.956707e+00 0.647856e+00
0.349724e+03 0.199950e+02 0.267663e+01 0.122786e+01 0.352609e+03 0.950600e+00 0.642324e+00
0.355508e+03 0.200456e+02 0.265205e+01 0.121705e+01 0.358408e+03 0.944447e+00 0.636760e+00
0.361320e+03 0.200957e+02 0.262742e+01 0.120631e+01 0.364233e+03 0.938241e+00 0.631165e+00
0.367159e+03 0.201454e+02 0.260276e+01 0.119563e+01 0.370085e+03 0.931980e+00 0.625535e+00
0.373024e+03 0.201948e+02 0.257810e+01 0.118500e+01 0.375963e+03 0.925666e+00 0.619876e+00
0.378915e+03 0.202437e+02 0.255345e+01 0.117442e+01 0.381866e+03 0.919300e+00 0.614188e+00
0.384830e+03 0.202923e+02 0.252880e+01 0.116384e+01 0.387793e+03 0.912886e+00 0.608473e+00
0.390769e+03 0.203405e+02 0.250414e+01 0.115319e+01 0.393744e+03 0.906426e+00 0.602733e+00
0.396731e+03 0.203883e+02 0.247947e+01 0.114249e+01 0.399718e+03 0.899920e+00 0.596970e+00
0.402717e+03 0.204358e+02 0.245483e+01 0.113179e+01 0.405715e+03 0.893373e+00 0.591185e+00
0.408725e+03 0.204829e+02 0.243026e+01 0.112113e+01 0.411734e+03 0.886787e+00 0.585379e+00
0.414754e+03 0.205295e+02 0.240576e+01 0.111052e+01 0.417774e+03 0.880166e+00 0.579552e+00
0.420804e+03 0.205758e+02 0.238129e+01 0.109990e+01 0.423835e+03 0.873518e+00 0.573705e+00
0.426875e+03 0.206217e+02 0.235685e+01 0.108926e+01 0.429916e+03 0.866854e+00 0.567838e+00
0.432966e+03 0.206671e+02 0.233253e+01 0.107860e+01 0.436016e+03 0.860181e+00 0.561950e+00
