y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss. Prod. Mole_Diff. vel_p_grad. Turb_Diff.
0.244860e+02 0.129718e+02 0.635620e+01 0.160608e+01 0.255346e+02 0.579546e+00 0.793828e+00 0.418780e+00 0.561761e+01 0.244860e+02 -0.954149e-01 0.119422e+00 0.439498e-03 -0.236260e-02 -0.199527e-01
0.266431e+02 0.132767e+02 0.604574e+01 0.163549e+01 0.277516e+02 0.634902e+00 0.807133e+00 0.417349e+00 0.660726e+01 0.266431e+02 -0.890978e-01 0.104999e+00 0.636871e-03 -0.190048e-02 -0.133400e-01
0.289209e+02 0.135549e+02 0.573815e+01 0.165795e+01 0.300901e+02 0.687720e+00 0.816877e+00 0.416681e+00 0.768692e+01 0.289209e+02 -0.828991e-01 0.923759e-01 0.120458e-02 -0.137839e-02 -0.797511e-02
0.313209e+02 0.138100e+02 0.544084e+01 0.167417e+01 0.325517e+02 0.737214e+00 0.823576e+00 0.416690e+00 0.884373e+01 0.313209e+02 -0.769170e-01 0.814817e-01 0.144301e-02 -0.860155e-03 -0.380728e-02
0.338447e+02 0.140450e+02 0.515887e+01 0.168479e+01 0.351376e+02 0.782764e+00 0.827686e+00 0.417282e+00 0.100607e+02 0.338447e+02 -0.712232e-01 0.721748e-01 0.148080e-02 -0.388485e-03 -0.708616e-03
0.364933e+02 0.142629e+02 0.489528e+01 0.169040e+01 0.378490e+02 0.823921e+00 0.829600e+00 0.418357e+00 0.113166e+02 0.364933e+02 -0.658646e-01 0.642788e-01 0.139853e-02 0.825890e-05 0.149230e-02
0.392678e+02 0.144662e+02 0.465153e+01 0.169157e+01 0.406866e+02 0.860405e+00 0.829653e+00 0.419819e+00 0.125886e+02 0.392678e+02 -0.608713e-01 0.576077e-01 0.125877e-02 0.315253e-03 0.296672e-02
0.421687e+02 0.146575e+02 0.442797e+01 0.168874e+01 0.436508e+02 0.892089e+00 0.828137e+00 0.421580e+00 0.138556e+02 0.421687e+02 -0.562573e-01 0.519774e-01 0.110169e-02 0.530070e-03 0.387790e-02
0.451963e+02 0.148384e+02 0.422424e+01 0.168228e+01 0.467418e+02 0.918982e+00 0.825301e+00 0.423560e+00 0.151008e+02 0.451963e+02 -0.520183e-01 0.472142e-01 0.948169e-03 0.657292e-03 0.437229e-02
0.483507e+02 0.150108e+02 0.403941e+01 0.167257e+01 0.499596e+02 0.941209e+00 0.821343e+00 0.425686e+00 0.163094e+02 0.483507e+02 -0.481362e-01 0.431653e-01 0.800982e-03 0.708810e-03 0.457254e-02
0.516317e+02 0.151760e+02 0.387216e+01 0.165994e+01 0.533038e+02 0.958999e+00 0.816422e+00 0.427891e+00 0.174718e+02 0.516317e+02 -0.445887e-01 0.397016e-01 0.667627e-03 0.701356e-03 0.456495e-02
0.550388e+02 0.153353e+02 0.372091e+01 0.164468e+01 0.567738e+02 0.972666e+00 0.810669e+00 0.430123e+00 0.185810e+02 0.550388e+02 -0.413533e-01 0.367155e-01 0.552954e-03 0.652843e-03 0.441368e-02
0.585713e+02 0.154894e+02 0.358387e+01 0.162718e+01 0.603688e+02 0.982564e+00 0.804187e+00 0.432337e+00 0.196328e+02 0.585713e+02 -0.384055e-01 0.341200e-01 0.463056e-03 0.575592e-03 0.416543e-02
0.622282e+02 0.156392e+02 0.345936e+01 0.160789e+01 0.640876e+02 0.989062e+00 0.797057e+00 0.434495e+00 0.206256e+02 0.622282e+02 -0.357166e-01 0.318435e-01 0.393005e-03 0.474685e-03 0.386244e-02
0.660082e+02 0.157852e+02 0.334591e+01 0.158723e+01 0.679289e+02 0.992546e+00 0.789345e+00 0.436557e+00 0.215600e+02 0.660082e+02 -0.332603e-01 0.298281e-01 0.328001e-03 0.358370e-03 0.354416e-02
0.699100e+02 0.159281e+02 0.324213e+01 0.156542e+01 0.718912e+02 0.993410e+00 0.781095e+00 0.438488e+00 0.224317e+02 0.699100e+02 -0.310179e-01 0.280305e-01 0.268804e-03 0.236091e-03 0.322570e-02
0.739319e+02 0.160682e+02 0.314663e+01 0.154252e+01 0.759726e+02 0.992035e+00 0.772361e+00 0.440260e+00 0.232502e+02 0.739319e+02 -0.289716e-01 0.264122e-01 0.227096e-03 0.118860e-03 0.290496e-02
0.780719e+02 0.162057e+02 0.305846e+01 0.151858e+01 0.801712e+02 0.988741e+00 0.763178e+00 0.441838e+00 0.240167e+02 0.780719e+02 -0.271028e-01 0.249408e-01 0.195522e-03 0.153175e-04 0.259443e-02
0.823280e+02 0.163409e+02 0.297675e+01 0.149375e+01 0.844849e+02 0.983786e+00 0.753562e+00 0.443199e+00 0.247236e+02 0.823280e+02 -0.253939e-01 0.235976e-01 0.171468e-03 -0.727777e-04 0.229640e-02
0.866980e+02 0.164741e+02 0.290068e+01 0.146833e+01 0.889112e+02 0.977394e+00 0.743540e+00 0.444335e+00 0.253720e+02 0.866980e+02 -0.238268e-01 0.223676e-01 0.148460e-03 -0.143367e-03 0.201058e-02
0.911794e+02 0.166054e+02 0.282944e+01 0.144258e+01 0.934477e+02 0.969774e+00 0.733132e+00 0.445248e+00 0.259603e+02 0.911794e+02 -0.223872e-01 0.212362e-01 0.122350e-03 -0.191752e-03 0.173760e-02
0.957696e+02 0.167351e+02 0.276215e+01 0.141660e+01 0.980916e+02 0.961072e+00 0.722375e+00 0.445962e+00 0.265043e+02 0.957696e+02 -0.210632e-01 0.201858e-01 0.100934e-03 -0.220231e-03 0.147863e-02
0.100466e+03 0.168631e+02 0.269815e+01 0.139042e+01 0.102840e+03 0.951394e+00 0.711300e+00 0.446511e+00 0.270205e+02 0.100466e+03 -0.198419e-01 0.191965e-01 0.802054e-04 -0.239491e-03 0.125281e-02
0.105265e+03 0.169894e+02 0.263673e+01 0.136406e+01 0.107691e+03 0.940852e+00 0.699918e+00 0.446907e+00 0.275055e+02 0.105265e+03 -0.187132e-01 0.182575e-01 0.665698e-04 -0.256877e-03 0.106269e-02
0.110165e+03 0.171141e+02 0.257740e+01 0.133753e+01 0.112640e+03 0.929565e+00 0.688235e+00 0.447144e+00 0.279509e+02 0.110165e+03 -0.176699e-01 0.173686e-01 0.627306e-04 -0.272191e-03 0.898547e-03
0.115162e+03 0.172371e+02 0.251992e+01 0.131103e+01 0.117684e+03 0.917653e+00 0.676253e+00 0.447210e+00 0.283455e+02 0.115162e+03 -0.167035e-01 0.165308e-01 0.553900e-04 -0.286877e-03 0.763702e-03
0.120253e+03 0.173586e+02 0.246387e+01 0.128470e+01 0.122821e+03 0.905229e+00 0.663991e+00 0.447111e+00 0.286958e+02 0.120253e+03 -0.158046e-01 0.157397e-01 0.454638e-04 -0.299408e-03 0.654000e-03
0.125435e+03 0.174785e+02 0.240893e+01 0.125848e+01 0.128048e+03 0.892363e+00 0.651473e+00 0.446865e+00 0.290162e+02 0.125435e+03 -0.149650e-01 0.149860e-01 0.381170e-04 -0.311926e-03 0.564561e-03
0.130704e+03 0.175968e+02 0.235474e+01 0.123246e+01 0.133360e+03 0.879078e+00 0.638703e+00 0.446479e+00 0.293003e+02 0.130704e+03 -0.141798e-01 0.142654e-01 0.364525e-04 -0.321728e-03 0.488846e-03
0.136057e+03 0.177135e+02 0.230126e+01 0.120671e+01 0.138754e+03 0.865404e+00 0.625690e+00 0.445933e+00 0.295387e+02 0.136057e+03 -0.134456e-01 0.135791e-01 0.339148e-04 -0.328453e-03 0.429220e-03
0.141491e+03 0.178285e+02 0.224866e+01 0.118104e+01 0.144227e+03 0.851416e+00 0.612448e+00 0.445205e+00 0.297370e+02 0.141491e+03 -0.127583e-01 0.129251e-01 0.276049e-04 -0.333664e-03 0.387637e-03
0.147002e+03 0.179421e+02 0.219684e+01 0.115521e+01 0.149776e+03 0.837188e+00 0.598993e+00 0.444291e+00 0.299026e+02 0.147002e+03 -0.121151e-01 0.122982e-01 0.218072e-04 -0.335746e-03 0.361774e-03
0.152587e+03 0.180540e+02 0.214558e+01 0.112916e+01 0.155397e+03 0.822748e+00 0.585333e+00 0.443193e+00 0.300287e+02 0.152587e+03 -0.115128e-01 0.116962e-01 0.181335e-04 -0.338421e-03 0.351881e-03
0.158242e+03 0.181642e+02 0.209475e+01 0.110291e+01 0.161087e+03 0.808102e+00 0.571482e+00 0.441919e+00 0.301208e+02 0.158242e+03 -0.109453e-01 0.111180e-01 0.161182e-04 -0.348631e-03 0.359540e-03
0.163965e+03 0.182727e+02 0.204429e+01 0.107640e+01 0.166842e+03 0.793293e+00 0.557457e+00 0.440455e+00 0.301915e+02 0.163965e+03 -0.104084e-01 0.105592e-01 0.169296e-04 -0.363150e-03 0.380292e-03
