y+,u_mean,uu+,ww+,y+,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.
169.807,18.0401,2.76815,1.36821,172.727,0.995381,0.70849,0.428416,43.0999,-0.00889383
175.684,18.1367,2.72703,1.35172,178.64,0.986161,0.699759,0.428329,43.6678,-0.00851684
181.632,18.232,2.68588,1.33511,184.624,0.976864,0.690895,0.42817,44.1746,-0.00816556
187.65,18.3261,2.64494,1.31839,190.676,0.967515,0.681908,0.427929,44.6371,-0.00783708
193.734,18.4191,2.60418,1.30158,196.792,0.95812,0.672811,0.42762,45.078,-0.00752791
199.882,18.5108,2.5634,1.28466,202.972,0.948671,0.663617,0.42726,45.5238,-0.00723331
206.091,18.6014,2.52253,1.26762,209.211,0.939158,0.65433,0.426852,45.9926,-0.00695093
212.36,18.6905,2.48171,1.25042,215.509,0.929574,0.644945,0.426375,46.4515,-0.00668165
218.685,18.7784,2.44114,1.23307,221.862,0.919926,0.635449,0.425808,46.8501,-0.00642652
225.065,18.8649,2.40079,1.21539,228.268,0.910222,0.625845,0.42515,47.1696,-0.00618754
231.496,18.9502,2.36064,1.19738,234.725,0.90042,0.616135,0.424405,47.4058,-0.00596431
237.978,19.0345,2.32084,1.1792,241.231,0.890458,0.606334,0.42358,47.5804,-0.00575264
244.507,19.1177,2.2815,1.16091,247.783,0.880296,0.596461,0.422698,47.7504,-0.00554908
251.081,19.1998,2.2424,1.14246,254.379,0.869925,0.586519,0.421781,47.9152,-0.00535278
257.698,19.2808,2.20336,1.12385,261.017,0.85938,0.576498,0.420824,48.0208,-0.00516402
264.357,19.3607,2.1643,1.1049,267.696,0.848728,0.566394,0.419814,48.0312,-0.00498318
271.055,19.4397,2.12508,1.08563,274.413,0.838024,0.556222,0.418753,47.9935,-0.00481066
277.79,19.5178,2.08571,1.06628,281.167,0.827264,0.545991,0.417638,47.937,-0.00464731
284.561,19.5949,2.04636,1.04709,287.955,0.81641,0.535705,0.416464,47.8672,-0.0044912
291.366,19.671,2.00712,1.0281,294.776,0.805452,0.525369,0.415229,47.7959,-0.00433975
298.202,19.7462,1.96803,1.00922,301.629,0.794417,0.514981,0.41391,47.7016,-0.0041942
305.07,19.8203,1.92928,0.990421,308.511,0.783329,0.504554,0.412478,47.6155,-0.00405483
311.966,19.8934,1.89113,0.97167,315.421,0.772221,0.494091,0.410915,47.55,-0.00391985
318.89,19.9653,1.85349,0.952962,322.358,0.761096,0.483582,0.409212,47.4557,-0.00378912
325.839,20.0362,1.81632,0.934262,329.321,0.749972,0.473022,0.407353,47.3007,-0.00366314
332.814,20.1059,1.77965,0.915509,336.308,0.738884,0.462418,0.405327,47.1106,-0.00354271
339.812,20.1746,1.74343,0.896678,343.317,0.727851,0.45178,0.403135,46.9267,-0.00342758
346.833,20.2422,1.70762,0.877754,350.349,0.716874,0.441109,0.40078,46.7451,-0.00331577
353.875,20.3087,1.67209,0.858748,357.402,0.705957,0.430401,0.398255,46.5318,-0.00320808
360.938,20.374,1.63685,0.839683,364.474,0.695102,0.41966,0.395543,46.2946,-0.00310583
368.02,20.4382,1.60207,0.820537,371.566,0.684303,0.408894,0.392633,46.0888,-0.00300674
375.121,20.5012,1.56781,0.801385,378.676,0.673553,0.398103,0.389519,45.9214,-0.00290893
382.24,20.5629,1.53393,0.782411,385.804,0.662852,0.387274,0.386202,45.7274,-0.00281336
389.377,20.6233,1.50021,0.763767,392.949,0.652219,0.376402,0.382677,45.4629,-0.00272128
396.53,20.6826,1.4666,0.745465,400.111,0.641679,0.365488,0.378924,45.1291,-0.00263262
403.7,20.7406,1.43319,0.727432,407.289,0.631278,0.35453,0.374911,44.7148,-0.00254704
410.886,20.7976,1.39999,0.709521,414.483,0.621044,0.343525,0.370611,44.1965,-0.00246492
418.087,20.8536,1.36697,0.691802,421.692,0.610982,0.332479,0.366012,43.6099,-0.00238653
