y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.,u_mean2,uu+2
45.1963,14.8384,4.22424,1.68228,46.7418,0.918982,0.825301,0.42356,15.1008,-0.0520183,0.0472142,0.000948169,0.000657292,0.00437229,14.922867474004565,4.1336824407177275
48.3507,15.0108,4.03941,1.67257,49.9596,0.941209,0.821343,0.425686,16.3094,-0.0481362,0.0431653,0.000800982,0.00070881,0.00457254,15.091808924108504,3.9573958198719903
51.6317,15.176,3.87216,1.65994,53.3038,0.958999,0.816422,0.427891,17.4718,-0.0445887,0.0397016,0.000667627,0.000701356,0.00456495,15.254179545654662,3.7979311470165245
55.0388,15.3353,3.72091,1.64468,56.7738,0.972666,0.810669,0.430123,18.581,-0.0413533,0.0367155,0.000552954,0.000652843,0.00441368,15.410986765746639,3.6536023142250533
58.5713,15.4894,3.58387,1.62718,60.3688,0.982564,0.804187,0.432337,19.6328,-0.0384055,0.03412,0.000463056,0.000575592,0.00416543,15.563032174792857,3.5226687844895954
62.2282,15.6392,3.45936,1.60789,64.0876,0.989062,0.797057,0.434495,20.6256,-0.0357166,0.0318435,0.000393005,0.000474685,0.00386244,15.711018095238096,3.403553404761905
66.0082,15.7852,3.34591,1.58723,67.9289,0.992546,0.789345,0.436557,21.56,-0.0332603,0.0298281,0.000328001,0.00035837,0.00354416,15.85554395150956,3.2948232590086626
69.91,15.9281,3.24213,1.56542,71.8912,0.99341,0.781095,0.438488,22.4317,-0.0310179,0.0280305,0.000268804,0.000236091,0.0032257,15.997113680101446,3.1950864136353463
73.9319,16.0682,3.14663,1.54252,75.9726,0.992035,0.772361,0.44026,23.2502,-0.0289716,0.0264122,0.000227096,0.00011886,0.00290496,16.135976871980677,3.103169005072464
78.0719,16.2057,3.05846,1.51858,80.1712,0.988741,0.763178,0.441838,24.0167,-0.0271028,0.0249408,0.000195522,1.53175e-05,0.00259443,16.272386722586408,3.018156951904326
82.328,16.3409,2.97675,1.49375,84.4849,0.983786,0.753562,0.443199,24.7236,-0.0253939,0.0235976,0.000171468,-7.27777e-05,0.0022964,16.406643496567508,2.9392041457665905
86.698,16.4741,2.90068,1.46833,88.9112,0.977394,0.74354,0.444335,25.372,-0.0238268,0.0223676,0.00014846,-0.000143367,0.00201058,16.538944280805104,2.8654971624938637
91.1794,16.6054,2.82944,1.44258,93.4477,0.969774,0.733132,0.445248,25.9603,-0.0223872,0.0212362,0.00012235,-0.000191752,0.0017376,16.669492743235587,2.7961878743845583
95.7696,16.7351,2.76215,1.4166,98.0916,0.961072,0.722375,0.445962,26.5043,-0.0210632,0.0201858,0.000100934,-0.000220231,0.00147863,16.79838592113108,2.7305070394344604
100.466,16.8631,2.69815,1.39042,102.84,0.951394,0.7113,0.446511,27.0205,-0.0198419,0.0191965,8.02054e-05,-0.000239491,0.00125281,16.925578891435716,2.6677663617420295
105.265,16.9894,2.63673,1.36406,107.691,0.940852,0.699918,0.446907,27.5055,-0.0187132,0.0182575,6.65698e-05,-0.000256877,0.00106269,17.051139224489795,2.607355595918367
110.165,17.1141,2.5774,1.33753,112.64,0.929565,0.688235,0.447144,27.9509,-0.0176699,0.0173686,6.27306e-05,-0.000272191,0.000898547,17.17502155293176,2.5489303181909144
115.162,17.2371,2.51992,1.31103,117.684,0.917653,0.676253,0.44721,28.3455,-0.0167035,0.0165308,5.539e-05,-0.000286877,0.000763702,17.297289157336476,2.492153726183461
120.253,17.3586,2.46387,1.2847,122.821,0.905229,0.663991,0.447111,28.6958,-0.0158046,0.0157397,4.54638e-05,-0.000299408,0.000654,17.4180178309533,2.43664384793516
125.435,17.4785,2.40893,1.25848,128.048,0.892363,0.651473,0.446865,29.0162,-0.014965,0.014986,3.8117e-05,-0.000311926,0.000564561,17.537167280318847,2.3820561207060162
130.704,17.5968,2.35474,1.23246,133.36,0.879078,0.638703,0.446479,29.3003,-0.0141798,0.0142654,3.64525e-05,-0.000321728,0.000488846,17.654703082383712,2.3282048085185876
136.057,17.7135,2.30126,1.20671,138.754,0.865404,0.62569,0.445933,29.5387,-0.0134456,0.0135791,3.39148e-05,-0.000328453,0.00042922,17.770576739050423,2.2751535958778066
141.491,17.8285,2.24866,1.18104,144.227,0.851416,0.612448,0.445205,29.737,-0.0127583,0.0129251,2.76049e-05,-0.000333664,0.000387637,17.88489804028307,2.2229333587370714
147.002,17.9421,2.19684,1.15521,149.776,0.837188,0.598993,0.444291,29.9026,-0.0121151,0.0122982,2.18072e-05,-0.000335746,0.000361774,17.99767933751119,2.171379795881826
152.587,18.054,2.14558,1.12916,155.397,0.822748,0.585333,0.443193,30.0287,-0.0115128,0.0116962,1.81335e-05,-0.000338421,0.000351881,18.108758974358974,2.1203222988505748
158.242,18.1642,2.09475,1.10291,161.087,0.808102,0.571482,0.441919,30.1208,-0.0109453,0.011118,1.61182e-05,-0.000348631,0.00035954,18.218137183295475,2.069665481390879
